date,home_team,away_team,tournament,result,home_elo,away_elo,elo_diff,home_legacy,away_legacy,legacy_diff,home_win_rate,away_win_rate,home_gd_pg,away_gd_pg,home_federation_AFC,home_federation_CAF,home_federation_CONCACAF,home_federation_CONMEBOL,home_federation_OFC,home_federation_OTHER,home_federation_UEFA,away_federation_AFC,away_federation_CAF,away_federation_CONCACAF,away_federation_CONMEBOL,away_federation_OFC,away_federation_OTHER,away_federation_UEFA
2010-01-06,Singapore,Iran,AFC Asian Cup qualification,0,1540.7864533774002,1665.8101364223146,-125.02368304491438,1454.1166635431148,1721.5598752069286,-267.4432116638138,0.4,0.4,-0.5,-0.1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2010-01-06,Lebanon,Vietnam,AFC Asian Cup qualification,1,1376.6989596808753,1514.295298779747,-137.5963390988718,1486.5029329024933,1440.5193923600498,45.98354054244351,0.2,0.4,-0.6,-0.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2010-01-06,United Arab Emirates,Malaysia,AFC Asian Cup qualification,2,1506.0671621865097,1407.59346841309,98.47369377341965,1590.8857711588971,1417.3975954322011,173.488175726696,0.1,0.2,-1.0,-0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2010-01-06,Thailand,Jordan,AFC Asian Cup qualification,1,1608.3437233997493,1490.7069446593848,117.63677874036443,1566.6403555042968,1545.3308889901712,21.30946651412569,0.4,0.2,0.6,-0.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2010-01-06,Kuwait,Australia,AFC Asian Cup qualification,1,1567.1140666892807,1808.7629572994813,-241.64889061020062,1603.0432847476252,1753.878905027504,-150.83562027987887,0.4,0.6,0.6,0.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2010-01-06,Yemen,Japan,AFC Asian Cup qualification,0,1410.6530491726373,1808.474184043756,-397.8211348711186,1362.7344530920004,1721.6356921604788,-358.9012390684784,0.3,0.6,-1.2,1.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2010-01-06,China PR,Syria,AFC Asian Cup qualification,1,1620.5400767873193,1616.8767416178641,3.6633351694551948,1639.7656836085418,1538.4826597471465,101.28302386139535,0.5,0.5,0.8,0.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-01-06,Bahrain,Hong Kong,AFC Asian Cup qualification,2,1698.3186084890924,1411.8099053677038,286.50870312138863,1559.7910852773753,1411.5994862766906,148.19159900068462,0.5,0.4,0.9,0.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2010-01-06,Indonesia,Oman,AFC Asian Cup qualification,0,1452.0891377187143,1680.573494166509,-228.48435644779465,1445.2507697585631,1532.973291573354,-87.72252181479075,0.2,0.4,0.0,0.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2010-01-10,Angola,Mali,African Cup of Nations,1,1518.326611705857,1608.2410048144366,-89.91439310857959,1552.8153437408089,1548.7202903487585,4.095053392050431,0.2,0.4,0.0,0.3,0,1,0,0,0,0,0,0,1,0,0,0,0,0
